drg,Description,RW,GMLOS,AMLOS,national_payment_rate
541,OSTEOMYELITIS WITHOUT CC/MCC,0.8406,3.1,3.9,"$4,952.35 "
542,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC,1.8053,5,6.7,"$10,635.83 "
543,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC,1.0433,3.5,4.3,"$6,146.55 "
544,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC,0.7762,2.8,3.2,"$4,572.94 "
545,CONNECTIVE TISSUE DISORDERS WITH MCC,2.4995,5.5,7.9,"$14,725.68 "
546,CONNECTIVE TISSUE DISORDERS WITH CC,1.2066,3.5,4.5,"$7,108.62 "
547,CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,0.833,2.5,3.1,"$4,907.58 "
548,SEPTIC ARTHRITIS WITH MCC,2.0296,5.7,7.7,"$11,957.29 "
549,SEPTIC ARTHRITIS WITH CC,1.2469,4,5.2,"$7,346.05 "
550,SEPTIC ARTHRITIS WITHOUT CC/MCC,0.8827,3,3.5,"$5,200.38 "
551,MEDICAL BACK PROBLEMS WITH MCC,1.6231,4.3,5.7,"$9,562.41 "
552,MEDICAL BACK PROBLEMS WITHOUT MCC,0.942,2.9,3.6,"$5,549.75 "
553,BONE DISEASES AND ARTHROPATHIES WITH MCC,1.2683,3.9,5,"$7,472.13 "
554,BONE DISEASES AND ARTHROPATHIES WITHOUT MCC,0.7904,2.8,3.3,"$4,656.60 "
555,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,1.3628,3.8,5,"$8,028.87 "
556,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC,0.8063,2.6,3.2,"$4,750.28 "
557,"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC",1.3939,4.6,5.8,"$8,212.09 "
558,"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC",0.8583,3.1,3.8,"$5,056.63 "
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",1.8679,4.8,6.8,"$11,004.64 "
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",1.0764,3.7,4.9,"$6,341.56 "
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",0.7911,2.7,3.7,"$4,660.73 "
562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",1.408,4,5.1,"$8,295.16 "
563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",0.8708,3,3.5,"$5,130.27 "
564,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC,1.5138,4.6,5.8,"$8,918.48 "
565,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC,1.0063,3.4,4.1,"$5,928.57 "
566,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC,0.7515,2.5,3,"$4,427.42 "
570,SKIN DEBRIDEMENT WITH MCC,2.8363,7.3,9.5,"$16,709.92 "
571,SKIN DEBRIDEMENT WITH CC,1.6328,4.8,6,"$9,619.56 "
572,SKIN DEBRIDEMENT WITHOUT CC/MCC,1.1026,3,3.7,"$6,495.91 "
573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC,5.5373,10.8,15.9,"$32,622.73 "
574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC,3.2465,7.6,11,"$19,126.59 "
575,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,1.7615,4.5,5.7,"$10,377.79 "
576,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC,5.0601,9.3,13.4,"$29,811.33 "
577,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC,2.5474,4.6,6.6,"$15,007.88 "
578,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,1.5947,2.8,3.7,"$9,395.10 "
579,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC",2.9278,7,9.4,"$17,248.99 "
580,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC",1.6031,4,5.3,"$9,444.58 "
581,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC",1.2599,2.3,2.9,"$7,422.64 "
582,MASTECTOMY FOR MALIGNANCY WITH CC/MCC,1.6416,2.3,3.1,"$9,671.40 "
583,MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC,1.5416,1.7,2,"$9,082.26 "
584,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC",1.8303,3.4,4.4,"$10,783.12 "
585,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",1.7423,2.2,2.7,"$10,264.67 "
592,SKIN ULCERS WITH MCC,1.6867,5.4,7.2,"$9,937.11 "
593,SKIN ULCERS WITH CC,1.1368,4.1,5.3,"$6,697.40 "
594,SKIN ULCERS WITHOUT CC/MCC,0.8187,3.2,4,"$4,823.33 "
595,MAJOR SKIN DISORDERS WITH MCC,2.0121,5.5,7.5,"$11,854.19 "
596,MAJOR SKIN DISORDERS WITHOUT MCC,0.9892,3.3,4.3,"$5,827.82 "
597,MALIGNANT BREAST DISORDERS WITH MCC,1.6367,4.6,6.2,"$9,642.54 "
598,MALIGNANT BREAST DISORDERS WITH CC,1.1112,3.3,4.5,"$6,546.58 "
599,MALIGNANT BREAST DISORDERS WITHOUT CC/MCC,0.6712,2.5,3.2,"$3,954.34 "
600,NON-MALIGNANT BREAST DISORDERS WITH CC/MCC,0.9957,3.5,4.3,"$5,866.12 "
601,NON-MALIGNANT BREAST DISORDERS WITHOUT CC/MCC,0.6876,2.8,3.3,"$4,050.96 "
602,CELLULITIS WITH MCC,1.4366,4.6,5.7,"$8,463.66 "
603,CELLULITIS WITHOUT MCC,0.8448,3.2,3.8,"$4,977.10 "
604,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC",1.4913,3.8,5.2,"$8,785.92 "
605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",0.9092,2.7,3.3,"$5,356.51 "
606,MINOR SKIN DISORDERS WITH MCC,1.511,4.3,6,"$8,901.98 "
607,MINOR SKIN DISORDERS WITHOUT MCC,0.8256,2.9,3.6,"$4,863.98 "
614,ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC,2.3868,3.2,4.6,"$14,061.71 "
615,ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC,1.5741,1.8,2.2,"$9,273.73 "
616,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",3.9888,10,12.3,"$23,499.82 "
617,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",2.0341,5.8,7,"$11,983.80 "
618,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC",1.303,4.2,4.8,"$7,676.56 "
619,O.R. PROCEDURES FOR OBESITY WITH MCC,3.0611,2.8,4.7,"$18,034.32 "
620,O.R. PROCEDURES FOR OBESITY WITH CC,1.7611,1.8,2.2,"$10,375.43 "
621,O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC,1.5964,1.4,1.6,"$9,405.11 "
622,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",3.6128,8.3,11.1,"$21,284.63 "
623,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",1.8729,5.3,6.5,"$11,034.10 "
624,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC",1.0943,3.2,3.9,"$6,447.01 "
625,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MCC",2.8412,4.8,7,"$16,738.79 "
626,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC",1.6523,2.3,3.3,"$9,734.44 "
627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC",1.1818,1.4,1.7,"$6,962.52 "
628,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC",3.6981,7.4,10.5,"$21,787.17 "
629,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC",2.3468,6.1,7.3,"$13,826.05 "
630,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITHOUT CC/MCC",1.4069,2.4,3,"$8,288.68 "
637,DIABETES WITH MCC,1.3747,3.8,5,"$8,098.98 "
638,DIABETES WITH CC,0.8794,2.9,3.6,"$5,180.94 "
639,DIABETES WITHOUT CC/MCC,0.6093,2.1,2.5,"$3,589.66 "
640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",1.2278,3.3,4.5,"$7,233.52 "
641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",0.753,2.6,3.2,"$4,436.26 "
642,INBORN AND OTHER DISORDERS OF METABOLISM,1.2875,3.3,4.4,"$7,585.24 "
643,ENDOCRINE DISORDERS WITH MCC,1.6633,5,6.3,"$9,799.25 "
644,ENDOCRINE DISORDERS WITH CC,1.0183,3.5,4.2,"$5,999.26 "
645,ENDOCRINE DISORDERS WITHOUT CC/MCC,0.7678,2.7,3.2,"$4,523.46 "
650,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC,4.5131,6.8,8.3,"$26,588.70 "
651,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC,3.6936,6,6.8,"$21,760.66 "
652,KIDNEY TRANSPLANT,3.1819,4.7,5.3,"$18,746.00 "
653,MAJOR BLADDER PROCEDURES WITH MCC,5.4492,10.2,13,"$32,103.69 "
654,MAJOR BLADDER PROCEDURES WITH CC,2.9002,5.6,6.7,"$17,086.38 "
655,MAJOR BLADDER PROCEDURES WITHOUT CC/MCC,2.0801,3.6,4.2,"$12,254.81 "
656,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC,3.2817,5.6,7.6,"$19,333.97 "
657,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC,1.9341,3.2,4,"$11,394.65 "
658,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC,1.5791,2.1,2.3,"$9,303.19 "
659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC,2.6648,5.9,7.9,"$15,699.54 "
660,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC,1.4434,3.1,4,"$8,503.72 "
661,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC,1.0644,1.9,2.2,"$6,270.86 "
662,MINOR BLADDER PROCEDURES WITH MCC,2.9298,6.9,9.6,"$17,260.77 "
663,MINOR BLADDER PROCEDURES WITH CC,1.5949,3.7,4.9,"$9,396.27 "
664,MINOR BLADDER PROCEDURES WITHOUT CC/MCC,1.1842,1.9,2.4,"$6,976.66 "
665,PROSTATECTOMY WITH MCC,3.0367,7.6,9.7,"$17,890.57 "
666,PROSTATECTOMY WITH CC,1.7343,3.9,5.3,"$10,217.54 "
667,PROSTATECTOMY WITHOUT CC/MCC,0.9949,2,2.5,"$5,861.40 "
668,TRANSURETHRAL PROCEDURES WITH MCC,2.7551,7,9.2,"$16,231.53 "
669,TRANSURETHRAL PROCEDURES WITH CC,1.5319,3.7,4.8,"$9,025.11 "
670,TRANSURETHRAL PROCEDURES WITHOUT CC/MCC,0.9765,2,2.5,"$5,753.00 "
671,URETHRAL PROCEDURES WITH CC/MCC,1.7767,3.9,5.8,"$10,467.34 "
672,URETHRAL PROCEDURES WITHOUT CC/MCC,1.1509,1.6,2,"$6,780.47 "
673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,3.4631,7.7,10.5,"$20,402.68 "
674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC,2.3804,5.9,7.6,"$14,024.01 "
675,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT CC/MCC,1.752,2.7,3.7,"$10,321.82 "
682,RENAL FAILURE WITH MCC,1.4702,4.3,5.7,"$8,661.61 "
683,RENAL FAILURE WITH CC,0.8781,3.1,3.8,"$5,173.28 "
684,RENAL FAILURE WITHOUT CC/MCC,0.6075,2.2,2.6,"$3,579.06 "
685,ADMIT FOR RENAL DIALYSIS,,,,"$23,025.21 "
686,KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC,1.8732,5,7,"$11,035.86 "
687,KIDNEY AND URINARY TRACT NEOPLASMS WITH CC,1.0478,3.3,4.3,"$6,173.06 "
688,KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT CC/MCC,0.6853,1.9,2.2,"$4,037.41 "
689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,1.1113,3.8,4.7,"$6,547.17 "
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,0.7922,2.9,3.5,"$4,667.21 "
691,URINARY STONES W ESW LITHOTRIPSY W CC/MCC,,,,
693,URINARY STONES WITH MCC,1.2688,3.7,5,"$7,475.07 "
694,URINARY STONES WITHOUT MCC,0.7293,2.1,2.6,"$4,296.63 "
695,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MCC,1.1363,3.6,4.7,"$6,694.45 "
696,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC,0.6897,2.3,2.9,"$4,063.33 "
697,URETHRAL STRICTURE,0.997,2.8,3.6,"$5,873.78 "
698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,1.6067,4.7,6,"$9,465.79 "
699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,1.0252,3.3,4.1,"$6,039.91 "
700,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC,0.7448,2.4,2.9,"$4,387.95 "
707,MAJOR MALE PELVIC PROCEDURES WITH CC/MCC,1.9206,2.5,3.4,"$11,315.12 "
708,MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC,1.4914,1.4,1.6,"$8,786.51 "
709,PENIS PROCEDURES WITH CC/MCC,2.3119,4,6.5,"$13,620.44 "
710,PENIS PROCEDURES WITHOUT CC/MCC,1.5999,1.7,2.1,"$9,425.73 "
711,TESTES PROCEDURES WITH CC/MCC,2.1303,5.3,7.4,"$12,550.56 "
712,TESTES PROCEDURES WITHOUT CC/MCC,1.0575,2.5,3.1,"$6,230.21 "
713,TRANSURETHRAL PROSTATECTOMY WITH CC/MCC,1.4916,2.8,4,"$8,787.69 "
714,TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC,0.9285,1.6,1.9,"$5,470.21 "
715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH CC/MCC,2.0189,5,6.8,"$11,894.25 "
716,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC,1.2765,1.4,1.6,"$7,520.44 "
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC,1.7985,3.7,5.2,"$10,595.77 "
718,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITHOUT CC/MCC,1.2362,2.2,2.7,"$7,283.01 "
722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC",1.709,5.1,7.1,"$10,068.49 "
723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH CC",1.0891,3.5,4.5,"$6,416.38 "
724,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",0.6494,1.8,2.3,"$3,825.91 "
725,BENIGN PROSTATIC HYPERTROPHY WITH MCC,1.2819,4,5.4,"$7,552.25 "
726,BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC,0.7433,2.5,3.1,"$4,379.11 "
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MCC,1.4181,4.4,5.6,"$8,354.67 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC,0.8035,2.9,3.6,"$4,733.78 "
729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH CC/MCC,1.0048,3.1,4.1,"$5,919.73 "
730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,0.5657,1.8,2.2,"$3,332.79 "
734,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC",2.2228,3.5,5,"$13,095.52 "
735,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC",1.4135,1.7,2,"$8,327.56 "
736,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC,4.2582,8.4,10.5,"$25,086.97 "
737,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC,2.0582,4.2,4.9,"$12,125.78 "
738,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT CC/MCC,1.4766,2.6,2.9,"$8,699.32 "
739,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC,3.8217,6.6,9.5,"$22,515.35 "
740,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC,1.8,2.8,3.7,"$10,604.61 "
741,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC,1.2795,1.6,1.9,"$7,538.11 "
742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC,1.717,2.8,3.8,"$10,115.62 "
743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC,1.1323,1.7,1.9,"$6,670.89 "
744,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",1.794,4.4,5.9,"$10,569.26 "
745,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC",1.1705,2.2,2.6,"$6,895.94 "
746,"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC",1.6094,3.2,4.9,"$9,481.70 "
747,"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC",0.938,1.5,1.8,"$5,526.18 "
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,1.3483,1.6,2,"$7,943.44 "
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC,2.7074,5.6,7.7,"$15,950.51 "
750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1.4659,2.3,2.8,"$8,636.28 "
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC",1.821,5,7,"$10,728.33 "
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC",1.1276,3.3,4.3,"$6,643.20 "
756,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",0.9161,2.1,2.5,"$5,397.16 "
757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MCC",1.5221,4.7,6.3,"$8,967.38 "
758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC",0.967,3.6,4.4,"$5,697.03 "
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",0.6832,2.7,3.2,"$4,025.04 "
760,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC,0.9226,2.6,3.4,"$5,435.45 "
761,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT CC/MCC,0.59,1.8,2.3,"$3,475.96 "
765,Cesarean Section with CC/MCC,,,,"$28,762.00 "
766,CESAREAN SECTION W/O CC/MCC,,,,"$22,243.00 "
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,,,,"$7,466.18 "
768,VAGINAL DELIVERY WITH O.R. PROCEDURES EXCEPT STERILIZATION AND/OR D&C,1.1708,3.1,4.5,"$6,897.71 "
769,POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURES,1.6204,2.9,4.3,"$9,546.51 "
770,"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",0.8881,1.8,2.3,"$5,232.20 "
774,"VAGINAL DELIVERY W COMPLICATING DIAGNOSES	",,,,"$27,110.00 "
775,Vaginal Delivery w/o complicating diagnoses,,,,"$17,175.00 "
776,POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURES,0.7688,2.5,3.4,"$4,529.35 "
777,ECTOPIC PREGNANCY,,,,
778,THREATENED ABORTION,,,,"$95,497.00 "
779,ABORTION WITHOUT D&C,1.0404,2,2.9,"$6,129.46 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,,,,"$36,670.00 "
782,Other antepartum diagnoses,,,,"$3,968.72 "
783,CESAREAN SECTION WITH STERILIZATION WITH MCC,1.8727,4.8,7.2,"$11,032.92 "
784,CESAREAN SECTION WITH STERILIZATION WITH CC,1.0949,3.3,4.4,"$6,450.55 "
785,CESAREAN SECTION WITH STERILIZATION WITHOUT CC/MCC,0.9153,2.7,3.3,"$5,392.44 "
786,CESAREAN SECTION WITHOUT STERILIZATION WITH MCC,1.5911,4.3,5.7,"$9,373.89 "
787,CESAREAN SECTION WITHOUT STERILIZATION WITH CC,1.0627,3.5,4.1,"$6,260.84 "
788,CESAREAN SECTION WITHOUT STERILIZATION WITHOUT CC/MCC,0.8871,3,3.2,"$5,226.31 "
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY",1.7185,1.8,1.8,"$10,124.46 "
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE",5.6671,17.9,17.9,"$33,387.44 "
791,PREMATURITY WITH MAJOR PROBLEMS,3.8704,13.3,13.3,"$22,802.27 "
792,PREMATURITY WITHOUT MAJOR PROBLEMS,2.3353,8.6,8.6,"$13,758.30 "
793,FULL TERM NEONATE WITH MAJOR PROBLEMS,3.9757,4.7,4.7,"$23,422.64 "
794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,1.4072,3.4,3.4,"$8,290.45 "
795,NORMAL NEWBORN,0.1905,3.1,3.1,"$1,122.32 "
796,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH MCC,1.0679,3.6,5.7,"$6,291.48 "
797,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH CC,0.9199,2.4,2.6,"$5,419.54 "
798,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITHOUT CC/MCC,0.8273,2.1,2.3,"$4,874.00 "
799,SPLENECTOMY WITH MCC,5.1439,7.8,10.7,"$30,305.03 "
800,SPLENECTOMY WITH CC,2.9514,5,6.4,"$17,388.03 "
801,SPLENECTOMY WITHOUT CC/MCC,1.6835,2.6,3.1,"$9,918.26 "
802,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MCC,3.7087,7.5,11,"$21,849.62 "
803,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH CC,1.8848,3.9,5.2,"$11,104.20 "
804,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT CC/MCC,1.3642,2,2.5,"$8,037.12 "
805,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH MCC,1.0268,2.9,4,"$6,049.34 "
806,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH CC,0.7339,2.3,2.7,"$4,323.74 "
807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,0.6411,2.1,2.3,"$3,777.01 "
808,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MCC,2.1779,5.3,7.3,"$12,830.99 "
809,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH CC,1.2217,3.5,4.4,"$7,197.58 "
810,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITHOUT CC/MCC,0.9607,2.5,3.2,"$5,659.92 "
811,RED BLOOD CELL DISORDERS WITH MCC,1.3776,3.6,4.8,"$8,116.06 "
812,RED BLOOD CELL DISORDERS WITHOUT MCC,0.8797,2.7,3.4,"$5,182.71 "
813,COAGULATION DISORDERS,1.5447,3.6,4.7,"$9,100.52 "
814,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC,1.8907,4.5,6.5,"$11,138.96 "
815,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC,0.9925,2.9,3.8,"$5,847.26 "
816,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT CC/MCC,0.6609,2.2,2.6,"$3,893.66 "
817,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH MCC,2.3018,4.1,6.6,"$13,560.94 "
818,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH CC,1.3165,3,4.2,"$7,756.09 "
819,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITHOUT CC/MCC,0.9979,1.8,2.2,"$5,879.08 "
820,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH MCC,5.6873,10.6,14.7,"$33,506.44 "
821,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH CC,2.1551,3.7,5.4,"$12,696.66 "
822,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC,1.2516,1.8,2.3,"$7,373.74 "
823,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC,4.4971,10.3,13.6,"$26,494.44 "
824,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC,2.3627,5.3,7.1,"$13,919.73 "
825,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITHOUT CC/MCC,1.4007,2.4,3.4,"$8,252.15 "
